Beneficiary_ID,Name,Gender,Age,State,District,Category,Income_Level,Scheme_Availed,Benefit_Amount,Year
BEN00072,Ikshita Thaker,Male,41,Uttar Pradesh,Malda,SC,397090,SCH884,28286,2023
BEN00073,Ishaan Gade,Female,23,Bihar,Pune,SC,372804,SCH386,6580,2021
BEN00074,Odika Chandra,Female,61,Delhi,Alwar,OBC,142209,SCH254,34046,2020
BEN00075,Chatura Rout,Male,58,Delhi,Sagar,General,281606,SCH472,31891,2023
BEN00076,Sachi Sama,Male,28,Bihar,Tiruvottiyur,ST,344461,SCH227,11889,2015
BEN00077,Radhika Mistry,Female,34,Rajasthan,Kamarhati,SC,294949,SCH296,38149,2018
BEN00078,Zayyan Mutti,Male,70,Bihar,Jehanabad,General,118348,SCH828,12558,2015
BEN00079,Advaith Parsa,Male,78,Maharashtra,Fatehpur,SC,405811,SCH286,32223,2021
BEN00080,Unni Varkey,Female,25,West Bengal,Vadodara,SC,176230,SCH369,43432,2015
BEN00081,Triveni Pillay,Female,38,Maharashtra,Jabalpur,SC,184538,SCH827,15692,2018
BEN00082,Devansh Balasubramanian,Male,79,Uttar Pradesh,Thanjavur,SC,330859,SCH492,44186,2019
BEN00083,Darsh Minhas,Female,65,Rajasthan,Kolkata,ST,75225,SCH882,24356,2020
BEN00084,Darika Raval,Female,45,Andhra Pradesh,New Delhi,General,255925,SCH535,7717,2019
BEN00085,Lavanya Chatterjee,Female,58,West Bengal,Bhopal,SC,250644,SCH071,3235,2021
BEN00086,Samaksh Jani,Male,44,Andhra Pradesh,Saharanpur,General,483345,SCH149,37040,2018
BEN00087,Triya Bera,Male,18,Bihar,Bhiwandi,SC,418700,SCH743,3150,2023
BEN00088,Samarth Shukla,Male,70,Andhra Pradesh,Ichalkaranji,OBC,147030,SCH433,33763,2025
BEN00089,Champak Sankaran,Female,79,Karnataka,Satara,OBC,196931,SCH258,4568,2022
BEN00090,Pushti Pai,Male,31,Andhra Pradesh,New Delhi,SC,267961,SCH749,38542,2017
BEN00091,Chavvi Tank,Female,76,Delhi,Sambalpur,SC,60453,SCH699,47651,2023
BEN00092,Amol Vaidya,Female,74,Karnataka,Madurai,ST,264973,SCH743,49952,2019
BEN00093,Finn Narula,Male,38,Delhi,Tenali,General,474142,SCH775,42647,2015
BEN00094,Matthew Varughese,Male,32,Karnataka,Pimpri-Chinchwad,SC,329914,SCH080,21358,2023
BEN00095,Amol Sha,Male,27,Delhi,Barasat,SC,329574,SCH528,11381,2018
BEN00096,Lopa Nadig,Male,75,Uttar Pradesh,Panvel,ST,60972,SCH170,45698,2022
BEN00097,Ojas Sheth,Female,21,Tamil Nadu,Jalna,OBC,397996,SCH388,35632,2016
BEN00098,Anusha Tata,Female,78,Uttar Pradesh,Mathura,SC,255409,SCH493,13611,2025
BEN00099,Peter Sathe,Male,31,Maharashtra,Suryapet,OBC,53123,SCH734,7999,2016
BEN00100,Utkarsh Bhalla,Male,63,Maharashtra,Bhusawal,ST,442149,SCH758,14277,2016
BEN00101,Akshay Swaminathan,Female,56,Maharashtra,Ballia,General,64786,SCH252,1297,2017
BEN00102,Yochana Minhas,Female,18,Rajasthan,Kurnool,OBC,317290,SCH037,22807,2015
BEN00103,Maya Sani,Female,65,Tamil Nadu,Kollam,General,316811,SCH485,26665,2020
BEN00104,Mahika Ranganathan,Female,75,Tamil Nadu,Imphal,OBC,210370,SCH965,14993,2022
BEN00105,Onveer Dube,Female,53,Tamil Nadu,Navi Mumbai,SC,318953,SCH990,33045,2016
BEN00106,Anika Srinivas,Male,73,West Bengal,Mira-Bhayandar,SC,143869,SCH233,21254,2022
BEN00107,Bahadurjit Shanker,Male,41,Maharashtra,Silchar,General,221512,SCH667,33813,2025
BEN00108,Akshay Sharma,Male,78,Bihar,Karimnagar,SC,274768,SCH818,36669,2017
BEN00109,Jatin Bansal,Female,56,West Bengal,Pune,OBC,293997,SCH935,1984,2024
BEN00110,Imaran Aggarwal,Male,42,Karnataka,Vijayawada,ST,274080,SCH105,5555,2017
BEN00111,Siddharth Peri,Female,38,Karnataka,Tiruppur,OBC,446501,SCH719,45067,2024
BEN00112,Jairaj Rao,Male,69,Tamil Nadu,Agartala,SC,463424,SCH156,47307,2022
BEN00113,Janani Ravel,Male,47,West Bengal,Mysore,General,139847,SCH116,7003,2015
BEN00114,Fitan Bandi,Male,66,Karnataka,Bijapur,ST,465893,SCH497,15849,2023
BEN00115,Ati Badal,Female,61,Rajasthan,Amroha,ST,149092,SCH510,40099,2025
BEN00116,Tanveer Jani,Male,77,West Bengal,Berhampore,OBC,236749,SCH822,49232,2021
BEN00117,Chakradhar Mangat,Female,66,Uttar Pradesh,Guntakal,General,403204,SCH479,22036,2017
BEN00118,Ekansh Mody,Male,60,Bihar,Noida,ST,320805,SCH039,48995,2018
BEN00119,Aarini Edwin,Female,66,Andhra Pradesh,Parbhani,OBC,136652,SCH430,41791,2020
BEN00120,Advaith Dada,Male,48,Karnataka,Raiganj,OBC,388619,SCH033,26076,2021
BEN00121,Kiaan Majumdar,Female,79,Delhi,Alwar,SC,486210,SCH884,14027,2018
BEN00122,Pranav Reddy,Male,35,Delhi,Karawal Nagar,OBC,100729,SCH414,7726,2015
BEN00123,Damini Kumer,Female,49,Rajasthan,Latur,ST,59844,SCH443,40881,2022
BEN00124,Idika Vohra,Female,23,Andhra Pradesh,Suryapet,General,146492,SCH226,14065,2023
BEN00125,Imaran Raghavan,Female,31,Tamil Nadu,Dehri,OBC,480736,SCH954,10873,2018
BEN00126,Rachita Sidhu,Female,48,Bihar,Munger,ST,379862,SCH064,45695,2018
BEN00127,Zilmil Patel,Female,73,Tamil Nadu,Chittoor,SC,339049,SCH546,18988,2022
BEN00128,Hritik Walla,Female,39,West Bengal,Vijayawada,OBC,197369,SCH072,20694,2016
BEN00129,Balendra Kohli,Male,70,Uttar Pradesh,Surat,ST,133453,SCH579,15846,2022
BEN00130,Tanvi Sheth,Male,26,Tamil Nadu,Bahraich,ST,455411,SCH257,29247,2018
BEN00131,Anamika Deshmukh,Female,68,Karnataka,Bhimavaram,ST,66018,SCH510,37509,2017
BEN00132,Samar Dora,Male,21,Andhra Pradesh,Bidhannagar,General,276051,SCH121,21317,2022
BEN00133,Dalaja Varughese,Female,46,Tamil Nadu,Nashik,General,187953,SCH808,4721,2018
BEN00134,Aradhana Chad,Female,32,Andhra Pradesh,Sri Ganganagar,OBC,281147,SCH506,34199,2021
BEN00135,Balhaar Walla,Female,67,Andhra Pradesh,Yamunanagar,General,193433,SCH076,17980,2023
BEN00136,Chatura Bala,Male,74,Uttar Pradesh,Raebareli,SC,213897,SCH480,11006,2024
BEN00137,Brinda Shan,Female,42,Maharashtra,Thanjavur,OBC,228647,SCH257,5439,2024
BEN00138,Jonathan Parekh,Male,58,Bihar,Giridih,ST,455096,SCH181,833,2024
BEN00139,Saksham Barad,Female,73,Rajasthan,Morbi,SC,329506,SCH745,45748,2025
BEN00140,Diya Reddy,Female,62,Bihar,Madanapalle,OBC,366315,SCH786,41655,2024
BEN00141,Ganga Nanda,Female,43,West Bengal,Noida,General,352415,SCH533,7741,2018
BEN00142,Ladli Bhardwaj,Male,64,Andhra Pradesh,Dhule,ST,95545,SCH243,35083,2016
BEN00143,Neel Puri,Male,29,Uttar Pradesh,Gorakhpur,OBC,259863,SCH175,39334,2021
BEN00144,Chasmum Pillai,Female,23,Uttar Pradesh,Chapra,General,461431,SCH728,20164,2018
BEN00145,Turvi Narain,Male,52,Bihar,Madhyamgram,SC,108537,SCH053,37567,2018
BEN00146,Aarav Mand,Male,64,Uttar Pradesh,Kalyan-Dombivli,OBC,449546,SCH451,36554,2023
BEN00147,Tanveer Singh,Male,58,Bihar,Maheshtala,General,123206,SCH892,18484,2018
BEN00148,Eesha Samra,Male,27,West Bengal,Narasaraopet,ST,90487,SCH947,8625,2017
BEN00149,Avi Thaker,Male,50,Uttar Pradesh,Gopalpur,SC,435054,SCH879,19721,2022
BEN00150,Mohini Kapadia,Male,59,Uttar Pradesh,Srinagar,General,66730,SCH867,21016,2023
BEN00151,Upkaar Bhagat,Male,72,Bihar,Kharagpur,General,493071,SCH573,25048,2015
BEN00152,Samuel Bawa,Female,59,Delhi,Ujjain,OBC,362814,SCH040,35723,2023
BEN00153,Manan Chanda,Male,65,Delhi,Nagpur,OBC,403202,SCH410,9286,2024
BEN00154,Ridhi Naidu,Female,35,Maharashtra,Dhule,General,89918,SCH886,3072,2015
BEN00155,Daksha Mani,Female,56,Rajasthan,Jehanabad,ST,354383,SCH464,765,2016
BEN00156,Imaran Lanka,Female,36,Bihar,Surat,OBC,111722,SCH644,23289,2021
BEN00157,Ganga Sane,Female,77,Rajasthan,Gandhinagar,OBC,239882,SCH437,40949,2024
BEN00158,Banjeet Dayal,Male,66,Delhi,New Delhi,ST,271403,SCH720,12881,2022
BEN00159,Hemang Malhotra,Male,62,Tamil Nadu,Tiruvottiyur,General,130909,SCH759,6248,2023
BEN00160,Urvashi Srivastava,Male,48,Karnataka,Unnao,SC,227986,SCH110,30553,2019
BEN00161,Jagat Dugar,Female,77,Bihar,Sonipat,ST,156690,SCH635,16065,2023
BEN00162,Daniel Parikh,Male,42,Karnataka,Singrauli,SC,401223,SCH418,41743,2018
BEN00163,Kabir Bhatnagar,Male,64,Andhra Pradesh,Agra,ST,275045,SCH158,33630,2019
BEN00164,Farhan Jayaraman,Male,58,Bihar,Dehri,ST,129787,SCH302,1363,2018
BEN00165,Warda Pandey,Female,68,Rajasthan,Morbi,General,368277,SCH055,12682,2025
BEN00166,Charan Ghose,Male,28,Tamil Nadu,Sonipat,General,150751,SCH672,7584,2017
BEN00167,Jacob Verma,Male,80,West Bengal,Hapur,ST,421211,SCH616,9113,2021
BEN00168,Rachit Chander,Female,22,Maharashtra,Saharsa,General,463477,SCH312,31922,2018
BEN00169,Raksha Dara,Male,66,Delhi,Sambhal,General,310531,SCH560,48547,2016
BEN00170,Vasatika Yadav,Male,35,Delhi,Kollam,General,344957,SCH285,43142,2021
BEN00171,Kamya Sachdev,Female,76,Bihar,Navi Mumbai,OBC,315860,SCH280,21580,2017
BEN00172,Vasudha Viswanathan,Male,55,Karnataka,Gudivada,ST,213370,SCH277,24569,2024
BEN00173,Andrew Amble,Male,28,Tamil Nadu,Mau,OBC,344857,SCH494,31208,2025
BEN00174,Qasim Arya,Female,29,Andhra Pradesh,Jaunpur,SC,254879,SCH990,19091,2024
BEN00175,Farhan Bath,Male,71,Bihar,Udupi,SC,187335,SCH294,2083,2015
BEN00176,Harshil Chokshi,Female,39,Bihar,Bally,ST,353427,SCH610,40598,2015
BEN00177,Bachittar Narula,Male,68,Maharashtra,Amroha,ST,227434,SCH877,23885,2025
BEN00178,Nachiket Arora,Male,46,West Bengal,Gangtok,SC,172950,SCH494,32295,2020
BEN00179,Anay Seth,Female,76,Andhra Pradesh,Buxar,OBC,428876,SCH687,22957,2016
BEN00180,Nilima Deep,Female,59,West Bengal,Nellore,General,243086,SCH782,42834,2021
BEN00181,Anvi Maharaj,Male,23,Uttar Pradesh,Naihati,ST,309868,SCH253,43827,2018
BEN00182,Warda Balasubramanian,Female,49,West Bengal,Shimla,ST,145483,SCH021,20778,2023
BEN00183,Ayaan Banerjee,Female,62,Delhi,Jhansi,General,97573,SCH412,49510,2023
BEN00184,Bhavya Kumar,Male,50,Karnataka,Bhatpara,ST,315427,SCH006,40535,2018
BEN00185,Michael Krishna,Female,69,Delhi,Sambalpur,ST,272500,SCH237,1746,2024
BEN00186,Xiti Varkey,Male,80,Rajasthan,Ulhasnagar,General,200895,SCH838,32598,2019
BEN00187,Victor Setty,Male,32,West Bengal,Chittoor,OBC,326114,SCH976,13625,2020
BEN00188,Ganga Shanker,Male,27,Rajasthan,Jabalpur,SC,241067,SCH619,19147,2018
BEN00189,Manya Jhaveri,Male,76,Delhi,Vasai-Virar,OBC,288402,SCH156,7027,2019
BEN00190,Sara Narayanan,Female,72,Andhra Pradesh,Jamnagar,OBC,445609,SCH096,24032,2025
BEN00191,Gaurangi Karnik,Male,44,Maharashtra,Hapur,OBC,457801,SCH971,28255,2025
BEN00192,Indali Dhillon,Female,30,Karnataka,Singrauli,ST,212236,SCH727,47335,2020
BEN00193,Yug Chaudhary,Male,18,Delhi,Korba,General,439330,SCH419,43307,2018
BEN00194,Varsha Setty,Male,67,Uttar Pradesh,Dehri,General,162073,SCH741,40717,2021
BEN00195,Advaith Bhatia,Female,40,Uttar Pradesh,Saharsa,ST,275563,SCH608,39212,2016
BEN00196,Lajita Pradhan,Female,51,Maharashtra,Begusarai,ST,164092,SCH773,49932,2022
BEN00197,Keya Dass,Female,77,Tamil Nadu,Karnal,OBC,95737,SCH289,3095,2022
BEN00198,Dalbir Hegde,Female,73,Uttar Pradesh,Barasat,SC,356008,SCH239,33535,2019
BEN00199,Udarsh Parsa,Female,71,Tamil Nadu,Tiruchirappalli,OBC,447374,SCH341,35970,2016
BEN00200,Abhimanyu Choudhury,Male,77,West Bengal,Hubli–Dharwad,SC,248295,SCH307,18294,2020
BEN00201,Girindra Sunder,Female,60,Uttar Pradesh,Kharagpur,ST,346697,SCH124,41925,2017
BEN00202,Xavier Bhasin,Female,80,Uttar Pradesh,Howrah,ST,213769,SCH483,29747,2019
BEN00203,Frado Randhawa,Female,33,West Bengal,Silchar,General,302389,SCH944,31955,2020
BEN00204,Vaishnavi Dixit,Female,66,West Bengal,Sangli-Miraj & Kupwad,ST,151438,SCH030,34021,2024
BEN00205,Yatin Pandit,Male,57,Bihar,Mangalore,OBC,248626,SCH639,5574,2023
BEN00206,Ansh Ratti,Female,65,Andhra Pradesh,Bhagalpur,SC,132877,SCH865,27821,2022
BEN00207,Shivansh Baria,Female,79,Bihar,Delhi,OBC,144247,SCH383,27574,2024
BEN00208,Nachiket De,Female,48,Andhra Pradesh,Kirari Suleman Nagar,ST,251772,SCH550,19168,2018
BEN00209,Tamanna Munshi,Female,72,Delhi,Gangtok,OBC,469550,SCH841,26906,2017
BEN00210,Samaksh Pathak,Male,32,Maharashtra,Srikakulam,OBC,448956,SCH019,46438,2019
BEN00211,Bakhshi Subramaniam,Male,23,Rajasthan,Kottayam,ST,312968,SCH234,36050,2022
BEN00212,Gunbir Johal,Male,54,Andhra Pradesh,Jabalpur,OBC,477556,SCH110,34971,2015
BEN00213,Ranbir Pradhan,Female,77,Maharashtra,Dhanbad,OBC,365308,SCH973,31367,2020
BEN00214,Gauri Raj,Female,59,Uttar Pradesh,Malda,SC,463435,SCH951,14539,2025
BEN00215,Nidra Chandran,Male,41,Andhra Pradesh,Satara,SC,272229,SCH129,13275,2015
BEN00216,Aarnav Mahal,Female,66,Delhi,Bhilai,ST,398114,SCH007,38769,2025
BEN00217,Harrison Sekhon,Male,46,Uttar Pradesh,Madanapalle,OBC,254712,SCH411,42343,2022
BEN00218,Patrick Rege,Female,43,Maharashtra,Shivpuri,ST,304746,SCH921,6886,2022
BEN00219,Pushti Oak,Female,30,Uttar Pradesh,Parbhani,General,263705,SCH535,36099,2017
BEN00220,Dayamai Rana,Male,21,Karnataka,Panvel,SC,109610,SCH609,40632,2015
BEN00221,Tanmayi Pant,Male,62,Andhra Pradesh,Pune,General,77197,SCH992,8559,2022
BEN00222,George Bhat,Female,21,West Bengal,Mira-Bhayandar,SC,78787,SCH395,22082,2018
BEN00223,Kalpit More,Male,53,West Bengal,Jaipur,SC,415240,SCH733,4947,2017
BEN00224,Nandini Doshi,Female,48,Maharashtra,Etawah,OBC,285511,SCH504,11520,2015
BEN00225,Laksh Pal,Male,78,West Bengal,Serampore,ST,153858,SCH687,29817,2019
BEN00226,Unni Sani,Male,30,Delhi,Mangalore,General,463250,SCH551,21165,2019
BEN00227,Bhavika Bakshi,Female,34,West Bengal,Berhampore,SC,213549,SCH171,27764,2021
BEN00228,Bina Savant,Female,23,Andhra Pradesh,Jalandhar,General,422323,SCH183,42762,2020
BEN00229,Rayaan Agarwal,Male,72,Andhra Pradesh,Kota,SC,140086,SCH354,17298,2022
BEN00230,Lucky Sarraf,Male,28,Maharashtra,Ahmednagar,ST,167429,SCH812,10742,2025
BEN00231,Omisha Raman,Female,64,Andhra Pradesh,Berhampore,General,397647,SCH314,5798,2017
BEN00232,Yasti Dhillon,Male,73,Karnataka,Guntur,SC,271851,SCH948,24562,2017
BEN00233,Maanav Karan,Male,70,Rajasthan,Firozabad,OBC,440181,SCH738,29291,2025
BEN00234,Charles Balay,Male,63,Tamil Nadu,Chennai,SC,243568,SCH605,3786,2022
BEN00235,Adweta Ramesh,Male,27,Maharashtra,Bhopal,ST,149940,SCH193,17674,2019
BEN00236,Baljiwan Saran,Male,31,Bihar,Rourkela,SC,398165,SCH493,38940,2018
BEN00237,Chandresh Peri,Male,28,Uttar Pradesh,Jamalpur,General,327930,SCH443,34970,2025
BEN00238,Raagini Andra,Female,34,West Bengal,Sambhal,ST,188352,SCH086,34185,2019
BEN00239,Fitan Mukherjee,Male,74,West Bengal,Asansol,General,400700,SCH282,2242,2019
BEN00240,Krishna Issac,Female,18,Tamil Nadu,Bhavnagar,SC,417951,SCH083,7823,2021
BEN00241,Naveen Solanki,Male,52,Karnataka,Baranagar,ST,467654,SCH677,40583,2023
BEN00242,Yutika Bakshi,Female,40,Andhra Pradesh,Munger,ST,387821,SCH610,39830,2024
BEN00243,Naksh Chadha,Female,22,Uttar Pradesh,Thiruvananthapuram,SC,86608,SCH720,42410,2019
BEN00244,Kevin Chauhan,Female,46,Uttar Pradesh,Erode,SC,75337,SCH493,35621,2024
BEN00245,Saanvi Nayar,Male,78,Uttar Pradesh,Agra,SC,80981,SCH838,35963,2024
BEN00246,Maanas Hans,Male,70,Karnataka,Lucknow,ST,64088,SCH851,40364,2025
BEN00247,Yahvi Chadha,Male,37,Bihar,Morena,General,333992,SCH050,29783,2025
BEN00248,Yoshita Ganguly,Male,40,Maharashtra,Ahmedabad,ST,208081,SCH795,1065,2017
BEN00249,Dev Dalal,Female,54,Bihar,Gandhidham,SC,142934,SCH239,11022,2023
BEN00250,Chakradev Dhaliwal,Male,24,Karnataka,Warangal,OBC,229350,SCH047,34555,2016
BEN00251,Yochana Swamy,Female,45,Delhi,Kota,General,211770,SCH037,9780,2025
BEN00252,Abdul Mutti,Male,58,Tamil Nadu,Lucknow,ST,277370,SCH941,8249,2016
BEN00253,Gopal Pant,Female,24,West Bengal,Srikakulam,SC,203525,SCH817,46960,2018
BEN00254,Baghyawati Bhakta,Female,69,Rajasthan,Agartala,SC,51605,SCH094,36212,2018
BEN00255,Lekha Badal,Female,27,Rajasthan,Nizamabad,SC,179429,SCH552,44946,2017
BEN00256,Ishanvi Mukherjee,Male,58,Karnataka,Imphal,SC,450607,SCH352,37845,2021
BEN00257,Siya Chadha,Female,18,Uttar Pradesh,Madurai,SC,359500,SCH039,6815,2019
BEN00258,Mugdha Wali,Male,46,West Bengal,Patiala,OBC,404593,SCH427,1791,2015
BEN00259,Warhi Kara,Female,76,Bihar,Panipat,ST,313136,SCH536,2690,2021
BEN00260,Ishwar Singh,Female,31,Rajasthan,Tinsukia,ST,105508,SCH190,40611,2017
BEN00261,Balvan Lad,Male,33,Uttar Pradesh,Indore,SC,111206,SCH742,43312,2023
BEN00262,Pallavi Narayanan,Male,26,Andhra Pradesh,Malda,OBC,284771,SCH435,43197,2017
BEN00263,Jagrati Kamdar,Female,77,Tamil Nadu,Bhimavaram,ST,378312,SCH993,47192,2017
BEN00264,Amol Bhakta,Female,37,Tamil Nadu,Secunderabad,SC,230139,SCH628,39621,2020
BEN00265,Yoshita Balay,Female,44,Tamil Nadu,Gangtok,ST,474823,SCH019,34065,2019
BEN00266,Ronith Wagle,Male,58,Tamil Nadu,Mira-Bhayandar,OBC,344934,SCH909,40762,2024
BEN00267,Krishna Kakar,Male,29,Delhi,Pimpri-Chinchwad,ST,349682,SCH122,34327,2023
BEN00268,Chakrika Peri,Male,20,Bihar,Phagwara,SC,360172,SCH661,37272,2023
BEN00269,Owen Mukherjee,Female,58,Rajasthan,Chapra,OBC,94760,SCH106,41301,2024
BEN00270,Yashoda Mohan,Male,26,Maharashtra,South Dumdum,SC,125973,SCH572,41847,2023
BEN00271,William Sengupta,Male,71,Delhi,Bhiwandi,ST,414988,SCH152,30078,2022
BEN00272,Januja Andra,Male,70,Delhi,Sangli-Miraj & Kupwad,OBC,325340,SCH395,509,2019
BEN00273,Upasna Kara,Female,37,Tamil Nadu,Korba,ST,211823,SCH309,8545,2019
BEN00274,Karan Bail,Male,48,West Bengal,Erode,OBC,119323,SCH523,46027,2016
